hour,time,infected,susceptible
0,0,0,84110
1,1,0,84110
2,2,0,84110
3,3,0,84110
4,4,0,84110
5,5,0,84110
6,6,0,84110
7,7,877,83233
8,8,2578,81532
9,9,3152,80958
10,10,3310,80800
11,11,3458,80652
12,12,3605,80505
13,13,3792,80318
14,14,3975,80135
15,15,4111,79999
16,16,4484,79626
17,17,6124,77986
18,18,7402,76708
19,19,7685,76425
20,20,7780,76330
21,21,7786,76324
22,22,7786,76324
23,23,7786,76324
24,24,7787,76323
25,0,7787,76323
26,1,7787,76323
27,2,7787,76323
28,3,7787,76323
29,4,7787,76323
30,5,7787,76323
31,6,7787,76323
32,7,8000,76110
33,8,11409,72701
34,9,12279,71831
35,10,12551,71559
36,11,12792,71318
37,12,13044,71066
38,13,13317,70793
39,14,13624,70486
40,15,13847,70263
41,16,14408,69702
42,17,16570,67540
43,18,18031,66079
44,19,18299,65811
45,20,18401,65709
46,21,18412,65698
47,22,18413,65697
48,23,18413,65697
49,24,18414,65696
50,0,18414,65696
51,1,18414,65696
52,2,18414,65696
53,3,18414,65696
54,4,18414,65696
55,5,18414,65696
56,6,18414,65696
57,7,18633,65477
58,8,22289,61821
59,9,23181,60929
60,10,23449,60661
61,11,23676,60434
62,12,23944,60166
63,13,24241,59869
64,14,24541,59569
65,15,24754,59356
66,16,25273,58837
67,17,27202,56908
68,18,28576,55534
69,19,28826,55284
70,20,28906,55204
71,21,28912,55198
72,22,28912,55198
73,23,28912,55198
74,24,28913,55197
75,0,28913,55197
76,1,28913,55197
77,2,28913,55197
78,3,28913,55197
79,4,28913,55197
80,5,28913,55197
81,6,28913,55197
82,7,29130,54980
83,8,32420,51690
84,9,33184,50926
85,10,33424,50686
86,11,33657,50453
87,12,33923,50187
88,13,34172,49938
89,14,34422,49688
90,15,34653,49457
91,16,35057,49053
92,17,36785,47325
93,18,37933,46177
94,19,38165,45945
95,20,38237,45873
96,21,38244,45866
97,22,38244,45866
98,23,38244,45866
99,24,38244,45866
100,0,38244,45866
101,1,38244,45866
102,2,38244,45866
103,3,38244,45866
104,4,38244,45866
105,5,38244,45866
106,6,38244,45866
107,7,38430,45680
108,8,41359,42751
109,9,41986,42124
110,10,42197,41913
111,11,42436,41674
112,12,42629,41481
113,13,42858,41252
114,14,43103,41007
115,15,43288,40822
116,16,43620,40490
117,17,45092,39018
118,18,45985,38125
119,19,46158,37952
120,20,46224,37886
121,21,46230,37880
122,22,46234,37876
123,23,46235,37875
124,24,46235,37875
125,0,46235,37875
126,1,46235,37875
127,2,46235,37875
128,3,46235,37875
129,4,46235,37875
130,5,46235,37875
131,6,46235,37875
132,7,46411,37699
133,8,48780,35330
134,9,49262,34848
135,10,49460,34650
136,11,49658,34452
137,12,49825,34285
138,13,50020,34090
139,14,50220,33890
140,15,50364,33746
141,16,50628,33482
142,17,51841,32269
143,18,52590,31520
144,19,52747,31363
145,20,52810,31300
146,21,52812,31298
147,22,52813,31297
148,23,52813,31297
149,24,52813,31297
150,0,52813,31297
151,1,52813,31297
152,2,52813,31297
153,3,52813,31297
154,4,52813,31297
155,5,52813,31297
156,6,52813,31297
157,7,52949,31161
158,8,54926,29184
159,9,55360,28750
160,10,55509,28601
161,11,55651,28459
162,12,55797,28313
163,13,55945,28165
164,14,56125,27985
165,15,56260,27850
166,16,56486,27624
167,17,57424,26686
168,18,58057,26053
169,19,58179,25931
170,20,58220,25890
171,21,58222,25888
172,22,58222,25888
173,23,58223,25887
174,24,58223,25887
175,0,58223,25887
176,1,58223,25887
177,2,58223,25887
178,3,58223,25887
179,4,58223,25887
180,5,58223,25887
181,6,58223,25887
182,7,58363,25747
183,8,60022,24088
184,9,60366,23744
185,10,60514,23596
186,11,60629,23481
187,12,60756,23354
188,13,60893,23217
189,14,61024,23086
190,15,61158,22952
191,16,61338,22772
192,17,62076,22034
193,18,62566,21544
194,19,62646,21464
195,20,62676,21434
196,21,62678,21432
197,22,62680,21430
198,23,62680,21430
199,24,62680,21430
200,0,62680,21430
201,1,62680,21430
202,2,62680,21430
203,3,62680,21430
204,4,62680,21430
205,5,62680,21430
206,6,62680,21430
207,7,62775,21335
208,8,64145,19965
209,9,64415,19695
210,10,64531,19579
211,11,64649,19461
212,12,64744,19366
213,13,64837,19273
214,14,64959,19151
215,15,65045,19065
216,16,65195,18915
217,17,65787,18323
218,18,66158,17952
219,19,66216,17894
220,20,66234,17876
221,21,66234,17876
222,22,66234,17876
223,23,66234,17876
224,24,66234,17876
225,0,66234,17876
226,1,66234,17876
227,2,66234,17876
228,3,66234,17876
229,4,66234,17876
230,5,66234,17876
231,6,66234,17876
232,7,66335,17775
233,8,67438,16672
234,9,67637,16473
235,10,67732,16378
236,11,67830,16280
237,12,67905,16205
238,13,67979,16131
239,14,68070,16040
240,15,68136,15974
241,16,68255,15855
242,17,68739,15371
243,18,69028,15082
244,19,69077,15033
245,20,69101,15009
246,21,69102,15008
247,22,69104,15006
248,23,69104,15006
249,24,69104,15006
